Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
34755,886663,1898525,9085310,23095489,27220788,41216968,50333464,59349866,68500836,82558714,
35520,871239,7194408,9098177,18120399,32251218,41232975,50291426,59342475,68525411,77594299,
34769,6051876,7024622,14119808,18103146,27189916,36226335,50361316,59364409,68547247,77613605,
34777,989580,2037087,9116585,18159124,32257001,41223021,45348034,59334880,73556244,77606394,
35968,868126,7005310,9085004,23087486,27168918,36226229,50388643,59391794,68512633,82561713,
34977,868644,1995583,9085183,18138609,32273695,41216593,50342243,59347745,68517507,77602249,
34936,6131104,7066412,9129756,18138249,27198408,41216037,50387295,59388855,68499347,77599722,
34766,940498,1873686,9096696,23073680,32269617,36233413,50306464,59315213,68507764,77556546,
35505,870119,7226123,14094135,18110811,27213629,41209904,45381046,59404770,68530960,82547172,
34870,871160,7000554,9101091,18114736,32271000,36241956,50387152,59350858,68517270,77644754,
34708,6154242,2019562,9081086,23091117,27212289,41214268,50319046,54400147,68510348,77611461,
35886,893786,7022022,9085988,18138552,32241623,41189591,50351272,59400938,68482448,77565366,
34772,869102,1932456,9092249,18154129,27217249,36257464,45367710,59354275,73540950,82567008,
34958,6032584,7144352,9082942,23063257,32254475,41177357,50365554,59352304,68514009,77624175,
35007,993400,1864308,14151496,18111833,27205592,36232635,50328161,59345128,68542999,77602084,
35439,869172,7247679,9103055,18145699,27257039,41218481,50356232,59369665,68533193,77619347,
34777,868954,6981335,9083306,18148040,32205980,41196840,50373886,59354217,68548468,82578268,
34804,6094795,1996287,9067721,23111148,27223703,36234718,45355253,59345562,68497811,77605899,
35976,951016,7050889,9123081,18137850,32250833,41191880,50364904,59378221,68489583,77615769,
34878,866817,1918970,9084332,18090626,27248313,41225675,50364582,59341726,68507868,77615935,
34839,869876,7167941,14114248,23102479,32200920,36232843,50320004,59339400,68524956,82582397,
34682,6142278,1829674,9103305,18155601,27200921,41213133,50386229,59382086,68504717,77674322,
35685,912624,7243637,9078430,18099835,32269045,36248997,45346085,59372603,73545491,77604207,
34822,868053,7051084,9083611,23110249,27183372,41220473,50353217,54395033,68497318,82538928,
34774,868625,1972103,9100689,18156886,32237012,41248460,50307268,59393502,68503086,77612188,
35806,6188746,7104855,9069606,18070735,27207142,36205712,50357151,59367421,68550500,77611629,
34783,867502,1891663,14160183,18132713,32255292,41225103,45393263,59323453,68532560,77595943,
34735,868802,7194326,9114350,23123590,27218147,36226814,50351138,59328388,68540900,82594747,
34790,6080144,6997722,9081209,18117459,32236240,41245093,50345627,59380444,68514349,77590214,
35915,963971,2060714,9068129,18127264,27215366,41238840,50333388,59340925,68535119,77582759,
34700,869751,6996297,9133133,23135575,32262004,36223815,50345292,59369589,68514859,77570173,
4337268,866891,1948461,9065522,18091515,27202583,41206779,45359330,59328830,68548798,82547500,
34907,6107075,7126667,14123113,18093197,32198045,36249919,50345037,59375302,73511999,77607221,
34953,924600,1868575,9100580,23145560,27203067,41229773,50341321,59331524,68562041,77606359,
35733,871191,7212733,9091176,18112134,27252484,41218176,50308891,59347868,68555701,77543137,
34974,869920,7015533,9083319,18113393,32216014,36223403,45391329,54371675,68502962,82519932,
34836,6122042,2001219,9102445,23100836,27251010,41221948,50342666,59365703,68573237,77611877,
35623,921910,7047253,9068764,18151422,32204204,41253314,50344906,59326711,68553197,77649719,
34752,865525,1924548,9126075,18117120,27253183,36214873,50366447,59333417,68510307,77599294,
34842,6033562,7195635,14101388,18157249,32216513,41233030,50329728,59316307,68478289,82537659,
34763,978302,1841985,9104500,23105485,27201929,36270213,45359467,59336247,68534798,77558147,
35959,866607,7233155,9091756,18122416,32229396,41148193,50330569,59356707,73574377,77614474,
34797,867820,6978348,9139709,18105786,27211851,41248572,50385121,59351882,68554422,77614949,
34914,6118923,1988503,9078456,23121218,32247845,36264481,50292713,59342619,68491517,82535167,
35680,938154,7093910,9108445,18096967,27209803,41150903,50382208,59349538,68543763,77639698,
34746,871269,1894657,14091698,18134783,32227217,36263537,45353762,59339263,68460702,77544517,
34863,868716,7194968,9094610,23099401,27234499,41213206,50314478,59371379,68570630,77606571,
34903,6115628,7060344,9088394,18112449,32229440,41184522,50340200,54373914,68517638,82608438,
35664,901910,2037373,9102022,18135681,27248361,36236438,50326677,59382618,68492957,77642699,
34757,867943,6996348,9079018,23127571,32226368,41247476,45382534,59338342,68505133,77570750,
34857,6044597,1958227,9146396,18124222,27235108,36195682,50330317,59351669,68502857,82549699,
35954,992919,7131705,14083774,18152421,32203072,41229548,50356943,59289597,73534218,77626153,
34853,869354,1877039,9115551,18121587,27239272,41228583,50345646,59395091,68522719,77596024,
34921,866679,7232310,9083015,23109245,27216102,36199732,50342370,59321582,68517753,77608332,
34801,6109115,6945411,9141011,18136313,32230706,41184744,45369642,59356018,68503232,82569507,
35615,950433,2016390,9065635,18133397,27257711,36226869,50331396,59359480,68498513,77605830,
34820,868855,7028962,9116635,23112436,32252160,41218931,50360848,59390357,68569490,77608694,
34850,867754,1933218,14106745,18136420,27225996,41210240,50337640,59334218,68502434,77609285,
35775,6167509,7139939,9113937,18115061,32260399,36238890,45347258,59401236,68480073,82574370,
34880,906451,1857565,9078492,23105719,27194518,41173133,50379300,59383951,68495298,77620447,
34946,865533,7214897,9105857,18138467,32259945,36263234,50320292,54411262,73536444,77639830,
34824,6047477,7027123,9073176,18140978,27181186,41214950,50384507,59350311,68574650,77595949,
35683,1001439,1998579,9141183,23099868,32257483,41213352,50302693,59369600,68514310,82580410,
34782,867276,7086669,14092546,18172531,27166588,36269250,45384208,59311545,68559181,77647649,
34921,868728,1910954,9121499,18112916,32256609,41183162,50356307,59368250,68496385,77596987,
35865,6078920,7183786,9091152,23115924,27217767,41229480,50375750,59322734,68536260,77608230,
34848,960465,1828275,9126748,18128686,32263315,36267725,50334704,59358498,68533637,82571940,
35036,870173,7238336,9087963,18135845,27214566,41191015,50348986,59318329,68515376,77623883,
34918,869848,6994425,9121051,18125000,32232741,36253267,45377317,59404179,68529995,77601603,
35436,6095770,1976561,14096638,23146911,27200245,41238396,50338641,59317372,68485426,82567237,
34884,925003,7104835,9108451,18107283,32237299,41201952,50336160,59353274,73586146,77616673,
34914,870042,1891673,9087869,18116187,27216964,36255003,50361837,59339612,68539755,77581404,
35846,869735,7219565,9111870,23132543,32236913,41225136,45347562,59384668,68520429,77600797,
34753,6142100,7008812,9091079,18133682,27201240,36212145,50410566,54340862,68559379,82562467,
35022,881929,2028817,9144267,18110959,27234166,41232017,50343934,59385179,68492701,77570396,
35032,869981,7001630,14096140,23122150,32213952,41235121,50348953,59295726,68593438,77602645,
35411,6072367,1946367,9100018,18144855,27233136,36226719,50357598,59331096,68519537,77589990,
34928,973532,7135342,9101435,18128131,32260190,41220491,45369356,59340852,68533550,82545317,
