Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
42404,1130121,6778156,9212102,18290695,27529045,40995222,50154839,59325002,68605596,82172511,
41833,1116760,2399879,9192305,18343363,31911285,40971654,50229857,59287346,68625577,77740101,
42039,5494885,6758898,9201540,22713657,27487782,36623833,50174409,59306032,68573455,77761841,
41989,1148605,6783162,9198865,18276527,31927630,41005033,45856876,59276358,68624457,77772391,
41925,1121021,2373823,13567597,18279917,27454746,40945370,50216039,59304383,68613363,82120328,
41770,1108766,6756443,9227190,18316844,27510542,36632530,50235795,59292344,68562501,77781048,
42314,5474599,2392507,9191067,22687129,31900253,40997882,50224768,59353490,72962996,77767772,
41951,1151595,6776676,9188282,18326579,27548546,36570673,45785304,59319389,68569125,82101708,
42109,1126979,2395562,9218177,18303451,31913929,40992609,50204463,59330052,68673623,77745353,
41907,1088160,6756036,9197512,22702740,27490977,41015257,50206632,59301690,68591477,77821536,
41978,5493134,6749757,13572117,18273551,31884956,36604335,50273678,59357132,68566368,77731021,
41936,1156855,2381955,9221746,18315177,27542603,41023720,50225099,54885359,68603127,82129365,
42132,1118033,6769276,9190706,22679323,31892456,36553092,45807541,59329792,68575829,77774885,
41867,5470426,2386715,9189863,18332190,27485403,40966321,50272790,59304041,68702174,77728519,
41828,1095370,6781440,9183424,18313004,31912941,41008268,50195948,59314752,68566111,77762956,
41910,1156685,2385954,9197544,22709050,27509106,36578002,50206807,59313126,68580984,82114076,
42070,1103873,6799043,13590323,18271050,31923398,40967324,50233787,59292282,72978303,77777204,
41932,5469536,6772548,9210021,18287819,27498967,36606615,45827404,59348718,68573461,77783943,
42086,1094457,2381254,9173454,18310624,31922361,40991356,50229873,59309914,68588684,77697972,
41802,1155020,6764264,9190428,22714575,27536780,40966618,50206334,59314860,68595632,82084213,
42186,1100739,2401561,9215677,18301515,31921793,36611418,50223905,59333265,68580289,77765112,
41917,5489072,6772414,9203061,18309140,27493017,40951520,45817494,59336114,68580330,77768140,
42033,1120701,2374695,13590004,22687312,31902503,40971252,50228573,59299129,68634247,77685867,
41944,1152494,6788409,9203340,18265145,27503678,36608004,50228033,59338183,68595296,82153815,
42108,5503560,6762636,9182837,18304129,27505705,40974455,50223290,54915452,68534654,77734758,
41687,1105130,2382207,9186844,22744692,31884481,36589765,50242921,59315583,72971567,77725233,
42253,1124979,6779729,9186421,18291170,27549510,41003228,45850379,59293939,68553083,77755821,
41828,1139429,2399609,9214173,18299749,31937847,40962922,50191731,59343924,68629266,82146010,
42028,5475672,6763047,13583286,22700487,27497030,36636985,50224655,59309383,68596170,77701645,
41915,1094349,6775484,9212682,18271502,31893059,41000893,50187834,59290446,68586077,77750838,
42131,1127815,2369658,9175774,18288699,27527895,36549179,50225977,59329612,68605139,77744567,
3751496,1118834,6760631,9187668,18336158,31927810,40987534,45807147,59315406,68534228,82092914,
43065,5483214,2392548,9209681,22709520,27494516,41000740,50210090,59293648,68666740,77740935,
44140,1119302,6773479,9196566,18286107,31926902,36593669,50215374,59317029,68580454,77754605,
43139,1113245,2386251,13584459,18296451,27514338,41003409,50235729,59297330,68568989,82102585,
46027,5502759,6751996,9203968,22704903,31953919,36577875,45817712,59285291,72956483,77709392,
45393,1130263,6745244,9178934,18270382,27482075,40974061,50216680,59326745,68559706,77812470,
44595,1137750,2381812,9189631,18337195,31917485,40991366,50231963,54881206,68619360,77715790,
43801,1118989,6765645,9196501,22706515,27545050,36614452,50171068,59332826,68547430,82107439,
42084,5497514,2381115,9201040,18305916,31938534,40983085,50230762,59284755,68587746,77771756,
42056,1103204,6811974,9199428,18301429,27498724,36599018,45794154,59332945,68615353,77759158,
43446,1122530,2387757,13599682,22739615,31915584,41012767,50190522,59264079,68568247,77765488,
42716,1101584,6769634,9190661,18288785,27512313,40990993,50209650,59322836,68601116,82148077,
43361,5490148,6767564,9206143,18311447,27530473,36628152,50194936,59278491,68594127,77774840,
43123,1115310,2380641,9223035,18312815,31878673,41014658,45821314,59332579,72967276,77729365,
42127,1121502,6761190,9185911,22708182,27484216,40948580,50223556,59278568,68525653,77771630,
42438,1097836,2406009,9195433,18280494,31919891,36639290,50225563,59321118,68608202,82144542,
41821,5519011,6808044,13598634,18305204,27528560,40989876,50174013,59272510,68600123,77792881,
43781,1159437,2377150,9183851,22733107,31879845,36567409,50214018,59385299,68565711,77813461,
43470,1114282,6759836,9198023,18290231,27522086,40986810,45886043,54842559,68642541,77757127,
41934,5491722,6767932,9191895,18313038,31938431,40957852,50183432,59353349,68583354,82125713,
42144,1148800,2386673,9196257,22697995,27543109,36595021,50218060,59250730,68661761,77777183,
41860,1122458,6783071,9196727,18302313,31914747,41002050,50215337,59359189,68614770,77732043,
42080,1101945,2397167,13584549,18316839,27485282,36542590,45814767,59286361,68548193,77694833,
42121,5474944,6771453,9207857,22730513,31964611,40974642,50236214,59347701,72995217,82153090,
41958,1149476,6771146,9192478,18308149,27465539,40993961,50196691,59286300,68582500,77736839,
41885,1118866,2366067,9236336,18287593,31917699,36598202,50260085,59345901,68609088,77707714,
42109,1084267,6755937,9201334,18308009,27499725,40979884,50184618,59263634,68588855,82136474,
41853,5486496,2392867,9194130,22704713,31949327,36576659,45879694,59365513,68625246,77751142,
42068,1150763,6775814,13583486,18285745,27507450,41002459,50236204,59265141,68638031,77732377,
41886,1116168,2397267,9205714,18354841,31925298,40976327,50243727,59333188,68587981,77717884,
42133,5463193,6752667,9197990,22720972,27475117,36631318,50198315,59312991,68637112,82112724,
41805,1113788,6751389,9189006,18267825,31940475,40972442,50210490,54946263,68589567,77683422,
42045,1159610,2378345,9189969,18312040,27486917,40956962,45858012,59281673,72936537,77756263,
41790,1107482,6771458,9194919,22701019,27502117,36631067,50196262,59361428,68559436,77718397,
42075,5478453,2385601,13566854,18317926,31899567,40993077,50224726,59295099,68632376,82125700,
41966,1092348,6777042,9221871,18328821,27541029,36570581,50228461,59332823,68587348,77742387,
41914,1157675,2387765,9198901,22703901,31899019,41025667,45825028,59295070,68547052,77770067,
41906,1100186,6763850,9227283,18317281,27489866,40980873,50264830,59354447,68612557,77773267,
41995,5481273,6769261,9199862,18297620,31894186,36596808,50194472,59271539,68557990,82131965,
42007,1117202,2383562,9201050,18314467,27535581,40968574,50225200,59329782,68614221,77812244,
42010,1158870,6797496,13573444,22699371,31903537,36578906,50216246,59316542,68596672,77769447,
41851,5500441,2402021,9220876,18321316,27495851,40967469,45889780,59326521,68534672,77737154,
41934,1110695,6776307,9205747,18312813,31909798,40968074,50203393,59272910,72974715,82158459,
41919,1125941,6767853,9195871,22730480,27513912,36635242,50194022,54891478,68597398,77769117,
42095,1142153,2381965,9205015,18286333,31922345,40980393,50262918,59298846,68550601,77761562,
42659,5486141,6776693,9200404,18307686,27484922,36534532,45804765,59299226,68612358,77767410,
41890,1096884,2388724,13566978,22702447,31917813,41038292,50232010,59286424,68561901,82131240,
42051,1124569,6779335,9223846,18336156,27535215,40977221,50183190,59300758,68608286,77773210,
41878,1124017,2387095,9211090,18293028,31901734,36609140,50225974,59254442,68579319,77774720,
42023,5483806,6762037,9227388,22742937,27485285,41005075,50227278,59320614,68575241,77730323,
41852,1116373,6763360,9198184,18266104,27487317,36548804,45817707,59261863,68573551,82128284,
